愛,あい
訴える,うったえる
唸る,うなる
奪う,うばう
馬,うま
上手い,うまい
生まれ,うまれ
梅,うめ
裏切る,うらぎる
得る,うる
嬉しい,うれしい
売れる,うれる
噂,うわさ
運,うん
運転,うんてん
運動,うんどう
柄,え
永遠,えいえん
永久,えいきゅう
影響,えいきょう
営業,えいぎょう
衛星,えいせい
栄養,えいよう
笑顔,えがお
描く,えがく
餌,えさ
エネルギー,エネルギー
得る,える
円,えん
縁,えん
延期,えんき
演技,えんぎ
援助,えんじょ
エンジン,エンジン
演説,えんぜつ
演奏,えんそう
遠慮,えんりょ
オーバー,オーバー
老い,おい
追いつく,おいつく
王,おう
追う,おう
王様,おうさま
王子,おうじ
王子,おうじ
応じる,おうじる
横断,おうだん
終える,おえる
大いに,おおいに
覆う,おおう
大屋,おおや
丘,おか
沖,おき
奥,おく
起こる,おこる
幼い,おさない
収める,おさめる
お喋り,おしゃべり
汚染,おせん
恐らく,おそらく
恐れる,おそれる
恐ろしい,おそろしい
お互い,おたがい
穏やか,おだやか
音,おと
男の人,おとこのひと
劣る,おとる
お腹,おなか
鬼,おに
帯,おび
お昼,おひる
オフィス,オフィス
溺れる,おぼれる
お前,おまえ
お目出度う,おめでとう
思い出,おもいで
主に,おもに
思わず,おもわず
泳ぎ,およぎ
凡そ,およそ
及ぼす,およぼす
居る,おる
下ろす,おろす
恩,おん
温暖,おんだん
温度,おんど
温度,おんど
可,か
課,か
カー,カー
カード,カード
会,かい
回,かい
害,がい
会員,かいいん
絵画,かいが
海外,かいがい
会計,かいけい
解決,かいけつ
会合,かいごう
外交,がいこう
開始,かいし
解釈,かいしゃく
外出,がいしゅつ
快適,かいてき
回復,かいふく
飼う,かう
換える,かえる
香り,かおり
画家,がか
抱える,かかえる
価格,かかく
化学,かがく
輝く,かがやく
係,かかり
掛かる,かかる
罹る,かかる
鍵,かぎ
限る,かぎる
家具,かぐ
学,がく
額,がく
覚悟,かくご
確実,かくじつ
学者,がくしゃ
学習,がくしゅう
隠す,かくす
拡大,かくだい
確認,かくにん
学問,がくもん
隠れる,かくれる
影,かげ
陰,かげ
欠ける,かける
加減,かげん
過去,かこ
籠,かご
囲む,かこむ
火災,かさい
菓子,かし
家事,かじ
賢い,かしこい
歌手,かしゅ
数,かず
稼ぐ,かせぐ
数える,かぞえる
型,かた
肩,かた
硬い,かたい
方々,かたがた
形,かたち
刀,かたな
語る,かたる
価値,かち
勝ち,かち
がっかり,がっかり
活気,かっき
学期,がっき
格好,かっこう
活動,かつどう
活用,かつよう
悲しむ,かなしむ
必ずしも,かならずしも
可也,かなり
金,かね
可能,かのう
株,かぶ
被る,かぶる
構う,かまう
我慢,がまん
上,かみ
神,かみ
雷,かみなり
髪の毛,かみのけ
科目,かもく
かも知れない,かもしれない
火曜,かよう
空,から
柄,がら
体,からだ
刈る,かる
彼ら,かれら
川,かわ
皮,かわ
革,かわ
可哀想,かわいそう
可愛らしい,かわいらしい
勘,かん
管,かん
缶,かん
考え,かんがえ
感覚,かんかく
観客,かんきゃく
環境,かんきょう
歓迎,かんげい
観光,かんこう
観察,かんさつ
感じ,かんじ
感謝,かんしゃ
患者,かんじゃ
勘定,かんじょう
感情,かんじょう
感じる,かんじる
感心,かんしん
関心,かんしん
関する,かんする
完成,かんせい
完全,かんぜん
感動,かんどう
監督,かんとく
管理,かんり
完了,かんりょう
関連,かんれん
議員,ぎいん
記憶,きおく
気温,きおん
機械,きかい
議会,ぎかい
期間,きかん
機関,きかん
企業,きぎょう
効く,きく
機嫌,きげん
気候,きこう
岸,きし
生地,きじ
記事,きじ
技師,ぎし
記者,きしゃ
傷,きず
傷,きず
期待,きたい
帰宅,きたく
貴重,きちょう
議長,ぎちょう
きちんと,きちんと
きつい,きつい
気づく,きづく
気に入る,きにいる
記入,きにゅう
記念,きねん
機能,きのう
気の毒,きのどく
寄付,きふ
希望,きぼう
基本,きほん
決まり,きまり
気味,きみ
奇妙,きみょう
義務,ぎむ
疑問,ぎもん
逆,ぎゃく
キャプテン,キャプテン
キャンプ,キャンプ
九,きゅう
旧,きゅう
球,きゅう
級,きゅう
休暇,きゅうか
休憩,きゅうけい
急激,きゅうげき
吸収,きゅうしゅう
救助,きゅうじょ
急速,きゅうそく
急速,きゅうそく
急に,きゅうに
今日,きょう
器用,きよう
教科書,きょうかしょ
競技,きょうぎ
行儀,ぎょうぎ
供給,きょうきゅう
教師,きょうし
教授,きょうじゅ
強調,きょうちょう
共通,きょうつう
共通,きょうつう
共同,きょうどう
恐怖,きょうふ
協力,きょうりょく
強力,きょうりょく
許可,きょか
局,きょく
極,きょく
巨大,きょだい
嫌う,きらう
霧,きり
切れ,きれ
切れる,きれる
キロ,キロ
記録,きろく
議論,ぎろん
金,きん
銀,ぎん
禁煙,きんえん
金額,きんがく
金庫,きんこ
禁止,きんし
金銭,きんせん
金属,きんぞく
近代,きんだい
緊張,きんちょう
筋肉,きんにく
金融,きんゆう
金曜,きんよう
句,く
食う,くう
偶然,ぐうぜん
臭い,くさい
鎖,くさり
腐る,くさる
癖,くせ
具体,ぐたい
下さる,くださる
下り,くだり
苦痛,くつう
ぐっすり,ぐっすり
区別,くべつ
組,くみ
組合,くみあい
組む,くむ
曇り,くもり
位,くらい
暮らし,くらし
クラシック,クラシック
暮らす,くらす
グラス,グラス
グランド,グランド
クリーム,クリーム
繰り返す,くりかえす
クリスマス,クリスマス
グループ,グループ
狂う,くるう
苦しい,くるしい
苦しむ,くるしむ
暮れ,くれ
苦労,くろう
詳しい,くわしい
加わる,くわわる
訓,くん
軍,ぐん
軍隊,ぐんたい
訓練,くんれん
下,げ
ケース,ケース
ゲーム,ゲーム
敬意,けいい
経営,けいえい
計画,けいかく
景気,けいき
経験,けいけん
傾向,けいこう
警告,けいこく
計算,けいさん
刑事,けいじ
掲示,けいじ
芸術,げいじゅつ
契約,けいやく
経由,けいゆ
怪我,けが
劇,げき
劇場,げきじょう
化粧,けしょう
ケチ,ケチ
結果,けっか
欠陥,けっかん
結局,けっきょく
決心,けっしん
欠席,けっせき
決定,けってい
欠点,けってん
月曜,げつよう
結論,けつろん
煙,けむり
券,けん
県,けん
軒,けん
喧嘩,けんか
見解,けんかい
限界,げんかい
現金,げんきん
言語,げんご
健康,けんこう
検査,けんさ
現在,げんざい
現実,げんじつ
現象,げんしょう
現状,げんじょう
建設,けんせつ
現代,げんだい
建築,けんちく
検討,けんとう
検討,けんとう
見当,けんとう
現場,げんば
憲法,けんぽう
権利,けんり
後,ご
御,ご
語,ご
コーチ,コーチ
コード,コード
ゴール,ゴール
恋,こい
濃い,こい
恋人,こいびと
幸運,こううん
講演,こうえん
講演,こうえん
効果,こうか
硬貨,こうか
高価,こうか
豪華,ごうか
合格,ごうかく
交換,こうかん
航空,こうくう
光景,こうけい
合計,ごうけい
攻撃,こうげき
貢献,こうけん
広告,こうこく
交際,こうさい
後者,こうしゃ
構成,こうせい
高速,こうそく
行動,こうどう
強盗,ごうとう
幸福,こうふく
公平,こうへい
候補,こうほ
考慮,こうりょ
越える,こえる
氷,こおり
凍る,こおる
誤解,ごかい
語学,ごがく
呼吸,こきゅう
国語,こくご
黒板,こくばん
克服,こくふく
国民,こくみん
穀物,こくもつ
穀物,こくもつ
此処,ここ
腰,こし
故障,こしょう
個人,こじん
越す,こす
国家,こっか
国会,こっかい
国境,こっきょう
骨折,こっせつ
小包,こづつみ
事,こと
異なる,ことなる
諺,ことわざ
断る,ことわる
粉,こな
粉,こな
此の,この
好み,このみ
好む,このむ
コピー,コピー
塵,ごみ
小麦,こむぎ
御免なさい,ごめんなさい
小屋,こや
これ等,これら
頃,ころ
殺す,ころす
殺す,ころす
転ぶ,ころぶ
今回,こんかい
今後,こんご
混雑,こんざつ
こんなに,こんなに
困難,こんなん
今日は,こんにちは
コンピュータ,コンピュータ
混乱,こんらん
差,さ
サービス,サービス
際,さい
最高,さいこう
財産,ざいさん
最終,さいしゅう
最中,さいちゅう
最低,さいてい
才能,さいのう
裁判,さいばん
材料,ざいりょう
幸い,さいわい
サイン,サイン
境,さかい
魚,さかな
逆らう,さからう
盛り,さかり
作業,さぎょう
作品,さくひん
作物,さくもつ
桜,さくら
酒,さけ
叫ぶ,さけぶ
避ける,さける
支える,ささえる
指す,さす
座席,ざせき
誘う,さそう
札,さつ
作家,さっか
ざっと,ざっと
さっぱり,さっぱり
偖,さて
砂漠,さばく
差別,さべつ
作法,さほう
様々,さまざま
覚ます,さます
覚める,さめる
左右,さゆう
皿,さら
更に,さらに
去る,さる
猿,さる
騒ぎ,さわぎ
参加,さんか
参考,さんこう
賛成,さんせい
酸素,さんそ
散歩,さんぽ
四,し
氏,し
詩,し
ジーンズ,ジーンズ
幸せ,しあわせ
ジェット機,ジェットき
直に,じかに
然も,しかも
叱る,しかる
式,しき
時期,じき
支給,しきゅう
頻りに,しきりに
刺激,しげき
資源,しげん
事件,じけん
時刻,じこく
事実,じじつ
支出,ししゅつ
事情,じじょう
詩人,しじん
自身,じしん
沈む,しずむ
自然,しぜん
思想,しそう
舌,した
次第,しだい
事態,じたい
従う,したがう
従って,したがって
支度,したく
親しい,したしい
七,しち
質,しつ
失業,しつぎょう
実験,じっけん
実現,じつげん
実行,じっこう
実際,じっさい
実施,じっし
凝乎と,じっと
実は,じつは
失望,しつぼう
支店,してん
指導,しどう
指導,しどう
自動,じどう
品,しな
支配,しはい
芝居,しばい
屡々,しばしば
芝生,しばふ
支払い,しはらい
支払う,しはらう
死亡,しぼう
資本,しほん
姉妹,しまい
仕舞う,しまう
仕舞った,しまった
自慢,じまん
事務,じむ
示す,しめす
占める,しめる
下,しも
霜,しも
借金,しゃっきん
喋る,しゃべる
邪魔,じゃま
ジュース,ジュース
州,しゅう
週,しゅう
十,じゅう
銃,じゅう
周囲,しゅうい
収穫,しゅうかく
週間,しゅうかん
宗教,しゅうきょう
重視,じゅうし
就職,しゅうしょく
修正,しゅうせい
渋滞,じゅうたい
重大,じゅうだい
住宅,じゅうたく
集団,しゅうだん
集中,しゅうちゅう
収入,しゅうにゅう
住民,じゅうみん
重要,じゅうよう
修理,しゅうり
主義,しゅぎ
宿泊,しゅくはく
手術,しゅじゅつ
手術,しゅじゅつ
首相,しゅしょう
手段,しゅだん
主張,しゅちょう
出身,しゅっしん
出席,しゅっせき
出発,しゅっぱつ
出版,しゅっぱん
首都,しゅと
主婦,しゅふ
主要,しゅよう
需要,じゅよう
種類,しゅるい
順,じゅん
瞬間,しゅんかん
順調,じゅんちょう
順番,じゅんばん
準備,じゅんび
使用,しよう
小,しょう
章,しょう
賞,しょう
上,じょう
障害,しょうがい
奨学金,しょうがくきん
乗客,じょうきゃく
上京,じょうきょう
状況,じょうきょう
条件,じょうけん
正午,しょうご
正直,しょうじき
常識,じょうしき
少女,しょうじょ
症状,しょうじょう
生じる,しょうじる
招待,しょうたい
状態,じょうたい
上達,じょうたつ
冗談,じょうだん
承知,しょうち
上等,じょうとう
衝突,しょうとつ
商人,しょうにん
承認,しょうにん
少年,しょうねん
商売,しょうばい
消費,しょうひ
商品,しょうひん
消防,しょうぼう
情報,じょうほう
証明,しょうめい
女王,じょおう
職,しょく
職業,しょくぎょう
食事,しょくじ
食卓,しょくたく
食品,しょくひん
植物,しょくぶつ
食物,しょくもつ
食欲,しょくよく
食料,しょくりょう
食糧,しょくりょう
書斎,しょさい
女子,じょし
徐々,じょじょ
署名,しょめい
書物,しょもつ
女優,じょゆう
処理,しょり
書類,しょるい
知らせ,しらせ
尻,しり
印,しるし
城,しろ
進学,しんがく
神経,しんけい
真剣,しんけん
信仰,しんこう
信号,しんごう
人工,じんこう
深刻,しんこく
診察,しんさつ
人種,じんしゅ
信じる,しんじる
人生,じんせい
親戚,しんせき
新鮮,しんせん
新鮮,しんせん
心臓,しんぞう
慎重,しんちょう
身長,しんちょう
心配,しんぱい
審判,しんぱん
人物,じんぶつ
進歩,しんぽ
親友,しんゆう
信用,しんよう
信頼,しんらい
心理,しんり
人類,じんるい
州,す
巣,す
図,ず
スープ,スープ
水準,すいじゅん
推薦,すいせん
スイッチ,スイッチ
随分,ずいぶん
睡眠,すいみん
数,すう
数字,すうじ
末,すえ
姿,すがた
スキー,スキー
空く,すく
救う,すくう
優れる,すぐれる
スケート,スケート
凄い,すごい
少しも,すこしも
過ごす,すごす
筋,すじ
勧める,すすめる
進める,すすめる
スター,スター
スタイル,スタイル
スタンド,スタンド
頭痛,ずつう
ずっと,ずっと
素敵,すてき
既に,すでに
即ち,すなわち
素晴らしい,すばらしい
スピーチ,スピーチ
全て,すべて
済ませる,すませる
済みません,すみません
為る,する
すると,すると
鋭い,するどい
性,せい
所為,せい
正,せい
背,せい
税,ぜい
性格,せいかく
正確,せいかく
世紀,せいき
請求,せいきゅう
税金,ぜいきん
清潔,せいけつ
制限,せいげん
成功,せいこう
生産,せいさん
正式,せいしき
精神,せいしん
成人,せいじん
精々,せいぜい
成績,せいせき
製造,せいぞう
贅沢,ぜいたく
成長,せいちょう
制度,せいど
制度,せいど
青年,せいねん
製品,せいひん
政府,せいふ
生物,せいぶつ
生命,せいめい
整理,せいり
咳,せき
石炭,せきたん
責任,せきにん
石油,せきゆ
世間,せけん
説,せつ
積極的,せっきょくてき
設計,せっけい
絶対,ぜったい
セット,セット
設備,せつび
節約,せつやく
是非,ぜひ
責める,せめる
世話,せわ
善,ぜん
全員,ぜんいん
全国,ぜんこく
先日,せんじつ
前者,ぜんしゃ
選手,せんしゅ
前進,ぜんしん
前進,ぜんしん
全然,ぜんぜん
全然,ぜんぜん
センター,センター
全体,ぜんたい
選択,せんたく
そう,そう
象,ぞう
騒音,そうおん
増加,ぞうか
操作,そうさ
想像,そうぞう
相続,そうぞく
相談,そうだん
装置,そうち
相当,そうとう
速度,そくど
底,そこ
其処で,そこで
組織,そしき
然して,そして
注ぐ,そそぐ
注ぐ,そそぐ
育つ,そだつ
そっくり,そっくり
率土,そっと
袖,そで
備える,そなえる
其の,その
その内,そのうち
其の儘,そのまま
側,そば
ソファ,ソファ
粗末,そまつ
其れ,それ
夫れ夫れ,それぞれ
其れでも,それでも
其れ共,それとも
損,そん
損害,そんがい
尊敬,そんけい
存在,そんざい
尊重,そんちょう
尊重,そんちょう
他,た
田,た
台,だい
題,だい
体育,たいいく
体温,たいおん
大会,たいかい
大気,たいき
代金,だいきん
退屈,たいくつ
大使,たいし
大した,たいした
対象,たいしょう
大臣,だいじん
対する,たいする
大戦,たいせん
大抵,たいてい
態度,たいど
態度,たいど
大統領,だいとうりょう
大半,たいはん
代表,だいひょう
大部分,だいぶぶん
タイプライター,タイプライター
逮捕,たいほ
ダイヤ,ダイヤ
太陽,たいよう
平ら,たいら
代理,だいり
大陸,たいりく
タオル,タオル
だが,だが
互い,たがい
宝,たから
だから,だから
宅,たく
だけど,だけど
確かめる,たしかめる
多少,たしょう
助ける,たすける
只,ただ
戦い,たたかい
戦う,たたかう
叩く,たたく
直ちに,ただちに
立ち上がる,たちあがる
立場,たちば
経つ,たつ
達する,たっする
たった,たった
だって,だって
たっぷり,たっぷり
縦,たて
例え,たとえ
谷,たに
他人,たにん
種,たね
束,たば
度,たび
旅,たび
度々,たびたび
多分,たぶん
玉,たま
偶々,たまたま
堪らない,たまらない
黙る,だまる
駄目,だめ
試し,ためし
試す,ためす
便り,たより
頼る,たよる
誰か,だれか
段,だん
単位,たんい
単語,たんご
男子,だんし
単純,たんじゅん
誕生,たんじょう
ダンス,ダンス
団体,だんたい
担当,たんとう
単なる,たんなる
単に,たんに
地,ち
チーズ,チーズ
チーム,チーム
地位,ちい
地域,ちいき
知恵,ちえ
知恵,ちえ
地下,ちか
違い,ちがい
違いない,ちがいない
近頃,ちかごろ
地球,ちきゅう
地区,ちく
遅刻,ちこく
知事,ちじ
知識,ちしき
父親,ちちおや
知能,ちのう
地平線,ちへいせん
地方,ちほう
茶,ちゃ
茶,ちゃ
チャンス,チャンス
ちゃんと,ちゃんと
中,ちゅう
注,ちゅう
中央,ちゅうおう
中学,ちゅうがく
中古,ちゅうこ
中止,ちゅうし
駐車,ちゅうしゃ
昼食,ちゅうしょく
中心,ちゅうしん
注目,ちゅうもく
注文,ちゅうもん
長期,ちょうき
調査,ちょうさ
頂戴,ちょうだい
貯金,ちょきん
直接,ちょくせつ
著者,ちょしゃ
対,つい
遂に,ついに
通過,つうか
通学,つうがく
通学,つうがく
通行,つうこう
通じる,つうじる
通信,つうしん
捕まる,つかまる
掴む,つかむ
疲れ,つかれ
月,つき
付き合い,つきあい
次々,つぎつぎ
就く,つく
注ぐ,つぐ
付ける,つける
土,つち
続き,つづき
包み,つつみ
勤め,つとめ
繋ぐ,つなぐ
常に,つねに
角,つの
翼,つばさ
詰まり,つまり
罪,つみ
詰める,つめる
積もる,つもる
梅雨,つゆ
辛い,つらい
釣り,つり
連れ,つれ
デート,デート
出会い,であい
出会う,であう
提案,ていあん
定期,ていき
抵抗,ていこう
提出,ていしゅつ
程度,ていど
停留所,ていりゅうじょ
敵,てき
出来事,できごと
適する,てきする
適切,てきせつ
適度,てきど
適用,てきよう
出来る,できる
出来るだけ,できるだけ
手品,てじな
ですから,ですから
鉄,てつ
哲学,てつがく
手伝い,てつだい
徹底,てってい
鉄道,てつどう
では,では
手間,てま
でも,でも
デモ,デモ
典型,てんけい
天候,てんこう
電子,でんし
テント,テント
伝統,でんとう
天然,てんねん
と,と
ト,ト
ど,ど
度,ど
問い,とい
党,とう
塔,とう
答案,とうあん
同一,どういつ
銅貨,どうか
当時,とうじ
動詞,どうし
同時,どうじ
如何しても,どうしても
到着,とうちゃく
道徳,どうとく
投票,とうひょう
同様,どうよう
同僚,どうりょう
道路,どうろ
通す,とおす
通り,とおり
通り過ぎる,とおりすぎる
都会,とかい
時,とき
解く,とく
毒,どく
得意,とくい
得意,とくい
読書,どくしょ
独身,どくしん
独立,どくりつ
解ける,とける
何処か,どこか
所が,ところが
所で,ところで
登山,とざん
都市,とし
年月,としつき
図書,としょ
年寄り,としより
閉じる,とじる
途端,とたん
土地,とち
突然,とつぜん
トップ,トップ
届く,とどく
兎に角,とにかく
飛ばす,とばす
飛び出す,とびだす
止める,とめる
共に,ともに
土曜,どよう
虎,とら
ドライブ,ドライブ
トラック,トラック
ドラマ,ドラマ
トランプ,トランプ
取り上げる,とりあげる
努力,どりょく
何れ,どれ
ドレス,ドレス
取れる,とれる
泥,どろ
屯,トン
とんでも無い,とんでもない
どんな,どんな
どんなに,どんなに
トンネル,トンネル
名,な
内容,ないよう
直,なお
仲,なか
流す,ながす
中々,なかなか
半ば,なかば
仲間,なかま
眺め,ながめ
眺める,ながめる
流れ,ながれ
流れる,ながれる
無し,なし
何故なら,なぜなら
謎,なぞ
等,など
何,なに
何か,なにか
何も,なにも
鍋,なべ
生,なま
怠ける,なまける
波,なみ
涙,なみだ
悩む,なやむ
成る,なる
縄,なわ
何で,なんで
何でも,なんでも
何とか,なんとか
似合う,にあう
匂い,におい
苦手,にがて
握る,にぎる
日,にち
日常,にちじょう
日曜,にちよう
日光,にっこう
にっこり,にっこり
日中,にっちゅう
日本,にほん
入学,にゅうがく
入場,にゅうじょう
人気,にんき
人間,にんげん
抜く,ぬく
抜ける,ぬける
布,ぬの
濡れる,ぬれる
根,ね
願い,ねがい
願う,ねがう
鼠,ねずみ
値段,ねだん
熱心,ねっしん
熱帯,ねったい
熱中,ねっちゅう
年間,ねんかん
年中,ねんじゅう
年代,ねんだい
年代,ねんだい
年齢,ねんれい
野,の
ノー,ノー
能,のう
農家,のうか
農業,のうぎょう
農民,のうみん
能力,のうりょく
残す,のこす
残り,のこり
乗せる,のせる
除く,のぞく
望み,のぞみ
望む,のぞむ
後,のち
ノック,ノック
喉,のど
伸ばす,のばす
伸びる,のびる
述べる,のべる
上る,のぼる
のんびり,のんびり
場,ば
パーセント,パーセント
はあ,はあ
灰,はい
バイオリン,バイオリン
ハイキング,ハイキング
配達,はいたつ
パイプ,パイプ
俳優,はいゆう
パイロット,パイロット
墓,はか
馬鹿,ばか
博士,はかせ
吐く,はく
履く,はく
拍手,はくしゅ
拍手,はくしゅ
麦酒,ばくしゅ
莫大,ばくだい
爆発,ばくはつ
博物館,はくぶつかん
激しい,はげしい
鋏,はさみ
破産,はさん
端,はし
始まり,はじまり
パス,パス
外す,はずす
パスポート,パスポート
旗,はた
肌,はだ
裸,はだか
畑,はたけ
二十歳,はたち
働き,はたらき
バッグ,バッグ
発見,はっけん
発行,はっこう
発車,はっしゃ
罰する,ばっする
発達,はったつ
ばったり,ばったり
発展,はってん
発表,はっぴょう
発明,はつめい
話し合う,はなしあう
放す,はなす
離す,はなす
離れる,はなれる
羽,はね
幅,はば
母親,ははおや
省く,はぶく
場面,ばめん
流行,はやり
原,はら
腹,はら
針,はり
張る,はる
バン,バン
番,ばん
範囲,はんい
反抗,はんこう
犯罪,はんざい
ハンサム,ハンサム
判断,はんだん
犯人,はんにん
販売,はんばい
灯,ひ
ビール,ビール
被害,ひがい
比較,ひかく
比較,ひかく
轢く,ひく
ピクニック,ピクニック
悲劇,ひげき
飛行,ひこう
膝,ひざ
美人,びじん
額,ひたい
吃驚,びっくり
日付,ひづけ
必死,ひっし
ぴったり,ぴったり
引っ張る,ひっぱる
否定,ひてい
ビデオ,ビデオ
一言,ひとこと
人ごみ,ひとごみ
等しい,ひとしい
一人,ひとり
一人一人,ひとりひとり
批判,ひはん
批評,ひひょう
秘密,ひみつ
微妙,びみょう
紐,ひも
表,ひょう
費用,ひよう
秒,びょう
評価,ひょうか
表現,ひょうげん
表情,ひょうじょう
平等,びょうどう
評判,ひょうばん
表面,ひょうめん
広がる,ひろがる
品,ひん
便,びん
瓶,びん
ピン,ピン
不,ふ
分,ぶ
無,ぶ
不安,ふあん
風景,ふうけい
夫婦,ふうふ
笛,ふえ
不可,ふか
武器,ぶき
服装,ふくそう
服装,ふくそう
含む,ふくむ
袋,ふくろ
不幸,ふこう
節,ふし
不思議,ふしぎ
不自由,ふじゆう
夫人,ふじん
婦人,ふじん
不正,ふせい
不正,ふせい
防ぐ,ふせぐ
不足,ふそく
舞台,ぶたい
双子,ふたご
再び,ふたたび
普段,ふだん
縁,ふち
打つ,ぶつ
物価,ぶっか
物質,ぶっしつ
物理,ぶつり
筆,ふで
不図,ふと
船,ふね
部分,ぶぶん
不平,ふへい
不満,ふまん
プラス,プラス
プラン,プラン
不利,ふり
振る,ふる
震える,ふるえる
故郷,ふるさと
ブレーキ,ブレーキ
触れる,ふれる
風呂,ふろ
プロ,プロ
分,ぶん
文,ぶん
雰囲気,ふんいき
文明,ぶんめい
分野,ぶんや
塀,へい
平均,へいきん
平和,へいわ
別に,べつに
減らす,へらす
減る,へる
ベルト,ベルト
変化,へんか
ペンキ,ペンキ
勉強,べんきょう
変更,へんこう
ベンチ,ベンチ
弁当,べんとう
ボーイ,ボーイ
ボート,ボート
ホーム,ホーム
ボール,ボール
方,ほう
法,ほう
棒,ぼう
冒険,ぼうけん
方向,ほうこう
報告,ほうこく
宝石,ほうせき
放送,ほうそう
豊富,ほうふ
方法,ほうほう
方々,ほうぼう
訪問,ほうもん
吠える,ほえる
頬,ほお
他,ほか
埃,ほこり
誇り,ほこり
保証,ほしょう
保存,ほぞん
保存,ほぞん
程,ほど
歩道,ほどう
仏,ほとけ
骨,ほね
炎,ほのお
略,ほぼ
微笑む,ほほえむ
褒める,ほめる
堀,ほり
本当,ほんとう
本人,ほんにん
本物,ほんもの
ぼんやり,ぼんやり
間,ま
マーケット,マーケット
まあ,まあ
マイク,マイク
迷子,まいご
任せる,まかせる
幕,まく
負け,まけ
孫,まご
誠に,まことに
真逆,まさか
正に,まさに
真面目,まじめ
増す,ます
先ず,まず
貧しい,まずしい
マスター,マスター
益々,ますます
又,また
未だ,まだ
町,まち
間違い,まちがい
松,まつ
真っ赤,まっか
真っ直ぐ,まっすぐ
全く,まったく
祭,まつり
学ぶ,まなぶ
真似,まね
招く,まねく
ママ,ママ
豆,まめ
守る,まもる
丸,まる
丸い,まるい
丸で,まるで
回す,まわす
周り,まわり
回り,まわり
万一,まんいち
満足,まんぞく
実,み
身,み
見送り,みおくり
味方,みかた
見事,みごと
ミス,ミス
満ちる,みちる
密,みつ
認める,みとめる
見舞い,みまい
都,みやこ
妙,みょう
未来,みらい
魅力,みりょく
ミルク,ミルク
皆,みんな
無,む
向い,むかい
迎え,むかえ
向く,むく
向ける,むける
無視,むし
虫歯,むしば
寧ろ,むしろ
結ぶ,むすぶ
無駄,むだ
夢中,むちゅう
胸,むね
無料,むりょう
芽,め
命じる,めいじる
名人,めいじん
命令,めいれい
命令,めいれい
迷惑,めいわく
飯,めし
滅多に,めったに
メモ,メモ
綿,めん
面,めん
面倒,めんどう
メンバー,メンバー
申し込む,もうしこむ
申し訳,もうしわけ
毛布,もうふ
毛布,もうふ
燃える,もえる
目的,もくてき
目標,もくひょう
木曜,もくよう
文字,もじ
若しも,もしも
持ち上げる,もちあげる
用いる,もちいる
勿論,もちろん
尤も,もっとも
最も,もっとも
元,もと
元,もと
基づく,もとづく
求める,もとめる
者,もの
物音,ものおと
物語,ものがたり
物事,ものごと
模様,もよう
模様,もよう
貰う,もらう
文句,もんく
軈て,やがて
役,やく
約,やく
訳,やく
家賃,やちん
厄介,やっかい
宿,やど
雇う,やとう
屋根,やね
矢張り,やはり
破る,やぶる
辞める,やめる
稍,やや
ユーモア,ユーモア
